movieid,title,studio,runtime,rating,reldate
2256,Saving Face,Sony Pictures,91,R,2005-05-27
2257,The Fearless Freaks,Shout! Factory,103,,2005-05-27
2258,The Longest Yard,Paramount Pictures,113,PG-13,2005-05-27
2259,The Ninth Day,Kino International,98,,2005-05-27
2260,Or,Kino International,100,,2005-06-01
2261,The Sisterhood of the Traveling Pants,Warner Bros.,119,PG,2005-06-01
2262,The White Diamond,Wellspring Media,90,,2005-06-01
2263,Apres Vous (After You),Paramount Pictures,110,R,2005-06-03
2264,Caterina va in cittÃ,Empire Pictures,90,Unrated,2005-06-03
2265,Cinderella Man,Universal Pictures,144,PG-13,2005-06-03
2266,Deep Blue,The Weinstein Company,83,G,2005-06-03
2267,Lords of Dogtown,Sony Pictures,107,Unrated,2005-06-03
2268,"Milwaukee, Minnesota",Palisades Tartan,95,R,2005-06-03
2269,Rock School,Newmarket Films,93,R,2005-06-03
2270,5x2,THINKFilm,90,R,2005-06-10
2271,CafÃ© LumiÃ¨re,,103,,2005-06-10
2272,Chrystal,First Look International,106,R,2005-06-10
2273,High Tension,Lionsgate,91,NC-17,2005-06-10
2274,Howl's Moving Castle,Walt Disney,119,TV-PG,2005-06-10
2275,Mr. & Mrs. Smith,20th Century Fox,120,Unrated,2005-06-10
2276,Slutty Summer,Embrem Entertainment,85,Unrated,2005-06-10
2277,The Adventures of Sharkboy and Lavagirl 3-D,Dimension Films,93,PG,2005-06-10
2278,The Bridge of San Luis Rey,Fine Line Features,120,PG,2005-06-10
2279,The Honeymooners,Paramount Pictures,90,PG,2005-06-10
2280,The Keeper: The Legend of Omar Khayyam,Arrival Pictures,95,PG,2005-06-10
2281,Wild Side,Wellspring Media,93,,2005-06-10
2282,Batman Begins,Warner Bros.,140,PG-13,2005-06-15
2283,J.S.A.: Joint Security Area,Palm Pictures,110,,2005-06-15
2284,Wheel of Time,Hemispheric Pictures,80,,2005-06-15
2285,Ethan Mao,Margin Films,87,,2005-06-17
2286,Heights,Sony Pictures,93,R,2005-06-17
2287,King of the Corner,Ardustry Home Entertainment,93,R,2005-06-17
2288,Me and You and Everyone We Know,IFC Films,91,R,2005-06-17
2289,My Summer of Love,Universal Pictures,86,R,2005-06-17
2290,Pure,Indican Pictures,96,R,2005-06-17
2291,The Deal,Front Street Productions,107,R,2005-06-17
2292,The Great Water,Picture This! Entertainment,93,,2005-06-17
2293,The Perfect Man,Universal Pictures,100,PG,2005-06-17
2294,The Talent Given Us,Vitagraph Films,97,,2005-06-17
2295,Herbie Fully Loaded,Walt Disney,101,G,2005-06-22
2296,Waging a Living,Public Policy Productions,85,,2005-06-22
2297,Bewitched,Sony Pictures,102,PG-13,2005-06-24
2298,Dallas 362,THINKFilm,,R,2005-06-24
2299,Land of the Dead,Universal Pictures,93,Unrated,2005-06-24
2300,Lila Says,Samuel Goldwyn Films,89,R,2005-06-24
2301,March of the Penguins,National Geographic Films,80,G,2005-06-24
2302,Memories of Murder,Palm Pictures,132,Unrated,2005-06-24
2303,Rize,Lionsgate,86,PG-13,2005-06-24
2304,The Last Mogul,THINKFilm,110,PG-13,2005-06-24
2305,Yes,Sony Pictures,100,R,2005-06-24
2306,A Decent Factory,First Run Features,79,,2005-06-29
2307,This Revolution,Screen Media Films,95,R,2005-06-29
2308,Tropical Malady,Strand Releasing,118,Not Rated,2005-06-29
2309,War of the Worlds,Paramount Pictures,116,PG-13,2005-06-29
2310,Rebound,20th Century Fox,103,PG,2005-07-01
2311,The Beat That My Heart Skipped,Wellspring Media,108,Unrated,2005-07-01
2312,The World,Zeitgeist Films,143,,2005-07-01
2313,Twist of Faith,Chain Camera Pictures,87,,2005-07-01
2314,Undead,Lionsgate,97,R,2005-07-01
2315,A Sidewalk Astronomer,Jacobs Entertainment Inc.,79,,2005-07-06
2316,Chronicles,Palm Pictures,108,R,2005-07-08
2317,Dark Water,Walt Disney,105,Unrated,2005-07-08
2318,"Doing Time, Doing Vipassana",,52,,2005-07-08
2319,Fantastic Four,20th Century Fox,106,PG-13,2005-07-08
2320,Murderball,MTV Films,88,R,2005-07-08
2321,Saraband,Sony Pictures,,R,2005-07-08
2322,Steve + Sky,Lifesize Entertainment,95,,2005-07-08
2323,The Beautiful Country,Sony Pictures,125,R,2005-07-08
2324,On the Outs,Kindred Media Group,86,R,2005-07-13
2325,Searching for the Wrong-Eyed Jesus,Shadow Distribution,82,,2005-07-13
2326,Charlie and the Chocolate Factory,Warner Bros.,115,PG,2005-07-15
2327,God's Sandbox,Indican Pictures,,,2005-07-15
2328,Happy Endings,Lionsgate,128,R,2005-07-15
2329,The Reception,Strand Releasing,80,,2005-07-15
2330,The Warrior,The Weinstein Company,86,R,2005-07-15
2331,Wedding Crashers,Warner Bros.,119,Not Rated,2005-07-15
2332,9 Songs,Tartan,71,Not Rated,2005-07-22
2333,Bad News Bears,Paramount Pictures,113,PG-13,2005-07-22
2334,Hustle & Flow,Paramount Pictures,116,R,2005-07-22
2335,Last Days,Fine Line Features,97,R,2005-07-22
2336,Monumental: David Brower's Fight for Wild America,First Run Features,88,,2005-07-22
2337,November,Sony Pictures,73,R,2005-07-22
2338,The Devil's Rejects,Lionsgate,107,NC-17,2005-07-22
2339,The Edukators,IFC Films,127,R,2005-07-22
2340,The Island,DreamWorks Distribution,136,PG-13,2005-07-22
2341,Melancholian 3 huonetta,,106,,2005-07-27
2342,Yat luk che,,,,2005-07-27
2343,Balzac and the Little Chinese Seamstress,Empire Pictures,110,,2005-07-29
2344,Must Love Dogs,Warner Bros.,98,PG-13,2005-07-29
2345,Oyster Farmer,Cinema Guild,91,Not Rated,2005-07-29
2346,Sky High,Walt Disney,100,PG,2005-07-29
2347,Stealth,Sony Pictures,121,PG-13,2005-07-29
2348,The Aristocrats,Lionsgate,89,Not Rated,2005-07-29
2349,Tony Takitani,Strand Releasing,75,,2005-07-29
2350,Darwin's Nightmare,International Film Circuit,107,,2005-08-03
2351,Junebug,Sony Pictures,106,R,2005-08-03
2352,2046,Sony Pictures,129,R,2005-08-05
2353,Broken Flowers,Universal Pictures,106,R,2005-08-05
2354,Duma,Warner Bros.,100,PG,2005-08-05
2355,My Date with Drew,Warner Bros.,90,PG,2005-08-05
2356,Saint Ralph,Samuel Goldwyn Films,98,PG-13,2005-08-05
2357,Secuestro express,The Weinstein Company,86,R,2005-08-05
2358,The Chumscrubber,Newmarket Films,108,R,2005-08-05
2359,The Dukes of Hazzard,Warner Bros.,104,Unrated,2005-08-05
2360,A State of Mind,Kino International,93,,2005-08-10
2361,Asylum,Paramount Pictures,99,R,2005-08-12
2362,Chaos,Dinsdale Releasing,74,Not Rated,2005-08-12
2363,Clean,Palm Pictures,90,R,2005-08-12
2364,Deuce Bigalow: European Gigolo,Sony Pictures,83,R,2005-08-12
2365,Four Brothers,Paramount Pictures,109,R,2005-08-12
2366,Grizzly Man,Lionsgate,103,R,2005-08-12
2367,Pretty Persuasion,Samuel Goldwyn Films,104,R,2005-08-12
2368,Pulse,Magnolia Pictures,118,Not Rated,2005-08-12
2369,The Goebbles Experiment,First Run Features,108,,2005-08-12
2370,The Great Raid,The Weinstein Company,132,Unrated,2005-08-12
2371,The Skeleton Key,Universal Pictures,104,R,2005-08-12
2372,Lustre,,81,,2005-08-17
2373,Reel Paradise,Wellspring Media,110,R,2005-08-17
2374,Supercross,20th Century Fox,80,PG-13,2005-08-17
2375,The Untold Story of Emmett Louis Till,THINKFilm,70,PG-13,2005-08-17
2376,El Crimen Perfecto (The Perfect Crime),Vitagraph Films,105,Unrated,2005-08-19
2377,Red Eye,DreamWorks Distribution,85,PG-13,2005-08-19
2378,Sympathy for Mr. Vengeance,Tartan,129,R,2005-08-19
2379,The 40 Year Old Virgin,Universal Pictures,116,Unrated,2005-08-19
2380,This Divided State,Minority Films LLC,88,,2005-08-19
2381,Valiant,Walt Disney,76,G,2005-08-19
2382,Eternal,Regent Releasing,107,Not Rated,2005-08-26
2383,The Baxter,Lionsgate,91,PG-13,2005-08-26
2384,The Brothers Grimm,The Weinstein Company,118,PG-13,2005-08-26
2385,The Cave,Sony Pictures,97,PG-13,2005-08-26
2386,The Memory of a Killer,Sony Pictures,123,R,2005-08-26
2387,Undiscovered,Lionsgate,97,PG-13,2005-08-26
2388,Wall,Lifesize Entertainment,96,,2005-08-26
2389,We Jam Econo: The Story of the Minutemen,Rocket Fuel Films,91,,2005-08-26
2390,Games of Love and Chance,New Yorker Films,123,,2005-08-31
2391,The Constant Gardener,Universal Pictures,129,R,2005-08-31
2392,William Eggleston in the Real World,Palm Pictures,87,,2005-08-31
2393,3 Dancing Slaves,TLA Releasing,90,,2005-09-02
2394,A Sound of Thunder,Warner Bros.,110,PG-13,2005-09-02
2395,Margaret Cho: Assassin,Regent Releasing,90,Not Rated,2005-09-02
2396,Transporter 2,20th Century Fox,87,R,2005-09-02
2397,Underclassman,The Weinstein Company,95,PG-13,2005-09-02
2398,Touch the Sound: A Sound Journey with Evelyn Glennie,Shadow Distribution,99,,2005-09-07
2399,An Unfinished Life,The Weinstein Company,108,PG-13,2005-09-09
2400,Campfire,Film Movement,96,,2005-09-09
2401,Cote d'Azur,Strand Releasing,96,,2005-09-09
2402,Green Street Hooligans,Freestyle Releasing,109,R,2005-09-09
2403,Kamikaze Girls,Viz Media,102,,2005-09-09
2404,Keane,Magnolia Pictures,100,R,2005-09-09
2405,Make It Funky!,,110,Not Rated,2005-09-09
2406,Music from the Inside Out,Emerging Pictures,89,,2005-09-09
2407,Steal Me,Westlake Entertainment Group,95,,2005-09-09
2408,The Exorcism of Emily Rose,Sony Pictures,119,Unrated,2005-09-09
2409,The Man,Warner Bros.,83,PG-13,2005-09-09
2410,Walking on the Sky,Newmark/Echelon Entertainment Group,94,,2005-09-09
2411,Chain,Gravity Hill Films,99,,2005-09-14
2412,The Future of Food,Cinema Libre Studio,88,,2005-09-14
2413,Trilogy: The Weeping Meadow,New Yorker Films,170,,2005-09-14
2414,Corpse Bride,Warner Bros.,77,PG,2005-09-16
2415,Cry_Wolf,Rogue Pictures,90,Not Rated,2005-09-16
2416,Everything Is Illuminated,Warner Bros.,106,PG-13,2005-09-16
2417,Finding Eleazar,M&L Banks,78,,2005-09-16
2418,G,"""g"" Productions LLC",97,R,2005-09-16
2419,Hard Goodbyes: My Father,,113,,2005-09-16
2420,HellBent,Regent Releasing,85,R,2005-09-16
2421,Just Like Heaven,DreamWorks Distribution,95,PG-13,2005-09-16
2422,Lord of War,Lionsgate,122,R,2005-09-16
2423,One Bright Shining Moment,First Run Features,123,,2005-09-16
2424,Proof,The Weinstein Company,100,PG-13,2005-09-16
2425,Separate Lies,20th Century Fox,85,TV-MA,2005-09-16
2426,Stupid Boy,Picture This! Entertainment,94,Unrated,2005-09-16
2427,The Thing About My Folks,Picturehouse Entertainment,96,PG-13,2005-09-16
2428,Thumbsucker,Sony Pictures,96,R,2005-09-16
2429,Venom,Dimension Films,85,R,2005-09-16
2430,A History of Violence,Warner Bros.,96,R,2005-09-23
2431,Daltry Calhoun,The Weinstein Company,100,PG-13,2005-09-23
2432,Dear Wendy,Wellspring Media,105,Unrated,2005-09-23
2433,Dirty Love,First Look International,91,Unrated,2005-09-23
2434,Dorian Blues,TLA Releasing,88,,2005-09-23
2435,Flightplan,Walt Disney,98,PG-13,2005-09-23
2436,Magnificent Desolation: Walking on the Moon 3D,,40,Unrated,2005-09-23
2437,Occupation: Dreamland,Rumur Releasing,78,Unrated,2005-09-23
2438,Oliver Twist,Sony Pictures,130,PG-13,2005-09-23
2439,Roll Bounce,20th Century Fox,112,PG-13,2005-09-23
2440,Forty Shades of Blue,Capital Entertainment,108,R,2005-09-28
2441,An Adolescent,Indican Pictures,132,,2005-09-30
2442,Capote,Sony Pictures,114,R,2005-09-30
2443,Going Shopping,Rainbow Releasing,106,PG-13,2005-09-30
2444,Into the Blue,Sony Pictures,110,PG-13,2005-09-30
2445,Little Manhattan,20th Century Fox,84,PG,2005-09-30
2446,MirrorMask,Samuel Goldwyn Films,101,PG,2005-09-30
2447,My Big Fat Independent Movie,Anchor Bay Entertainment,80,R,2005-09-30
2448,Once Upon a Time in the West (re-release),Paramount Pictures,175,M,2005-09-30
2449,Serenity,Universal Pictures,119,PG-13,2005-09-30
2450,The Greatest Game Ever Played,Walt Disney,120,PG,2005-09-30
2451,"The Prize Winner of Defiance, Ohio",DreamWorks SKG,99,PG-13,2005-09-30
2452,The War Within,Magnolia Pictures,90,Not Rated,2005-09-30
2453,Three Days of Rain,Rogue Arts,,R,2005-09-30
2454,Zombie Honeymoon,Showtime Networks,83,,2005-10-04
2455,The Squid and the Whale,Samuel Goldwyn Films,81,R,2005-10-05
2456,Wallace & Gromit: The Curse of the Were-Rabbit,DreamWorks Distribution,85,G,2005-10-05
2457,Before the Fall,Picture This! Entertainment,110,Not Rated,2005-10-07
2458,Dandelion,International Film Circuit,,R,2005-10-07
2459,"Good Night, and Good Luck.",Warner Bros.,93,PG,2005-10-07
2460,In Her Shoes,20th Century Fox,130,PG-13,2005-10-07
2461,Never Been Thawed,Slippery Chicken Pictures,87,R,2005-10-07
2462,The Aggressives,,75,,2005-10-07
2463,The Gospel,Sony Pictures,105,PG,2005-10-07
2464,Two for the Money,Universal Pictures,122,R,2005-10-07
2465,Waiting...,Lionsgate,94,Unrated,2005-10-07
2466,Henri Langlois: The Phantom of the Cinematheque,Leisure Time Features,128,Not Rated,2005-10-12
2467,Land of Plenty,IFC Films,123,,2005-10-12
2468,Domino,Warner Bros.,127,R,2005-10-14
2469,Elizabethtown,Paramount Pictures,123,PG-13,2005-10-14
2470,Innocent Voices,Polychrome Pictures,120,R,2005-10-14
2471,Loggerheads,Strand Releasing,95,PG-13,2005-10-14
2472,Nine Lives,Magnolia Pictures,115,R,2005-10-14
2473,North Country,Warner Bros.,126,R,2005-10-14
2474,Summer Storm,Regent Releasing,98,R,2005-10-14
2475,The Fog,Sony Pictures,100,TV-14,2005-10-14
2476,The President's Last Bang,Kino International,102,,2005-10-14
2477,Where the Truth Lies,THINKFilm,107,Open,2005-10-14
2478,Three of Hearts: A Postmodern Family,THINKFilm,95,R,2005-10-19
2479,Ushpizin,Picturehouse Entertainment,90,PG,2005-10-19
2480,After Innocence,New Yorker Films,95,Unrated,2005-10-21
2481,Doom,Universal Pictures,100,Unrated,2005-10-21
2482,Dreamer: Inspired by a True Story,DreamWorks Distribution,106,PG,2005-10-21
2483,Emmanuel's Gift,First Look International,80,G,2005-10-21
2484,Innocence,Leisure Time Features,122,R,2005-10-21
2485,Kids in America,Launchpad Releasing LLC,91,PG-13,2005-10-21
2486,Kiss Kiss Bang Bang,Warner Bros.,103,R,2005-10-21
2487,Naked in Ashes,Paradise Filmworks International,103,,2005-10-21
2488,Protocols of Zion,HBO Films,95,R,2005-10-21
2489,Shopgirl,Walt Disney,106,R,2005-10-21
2490,Stay,20th Century Fox,99,TV-MA,2005-10-21
2491,The Roost,Vitagraph Films,80,,2005-10-21
2492,"White King, Red Rubber, Black Death",ArtMattan Productions,84,,2005-10-21
2493,71 Fragments of a Chronology of Chance,Kino International,100,Not Rated,2005-10-26
2494,Ballets Russes,Zeitgeist Films,118,Not Rated,2005-10-26
2495,New York Doll,Vivendi Entertainment,75,PG-13,2005-10-28
2496,Paradise Now,Warner Bros.,90,PG-13,2005-10-28
2497,Prime,Universal Pictures,105,R,2005-10-28
2498,Saw II,Lionsgate,93,NC-17,2005-10-28
2499,The Legend of Zorro,Sony Pictures,129,PG,2005-10-28
2500,The Weather Man,Paramount Pictures,102,R,2005-10-28
2501,Three... Extremes,Lionsgate,125,R,2005-10-28
2502,little man,Jour de FÃªte Films,112,,2005-10-28
2503,Derailroaded,,86,,2005-11-03
2504,Brooklyn Lobster,Meadowbrook Pictures,94,R,2005-11-04
2505,Chicken Little,Walt Disney,81,G,2005-11-04
2506,Christmas in the Clouds,Majestic Films LLC,96,PG,2005-11-04
2507,Gay Sex in the 70s,Wolfe Video,67,,2005-11-04
2508,I Love Your Work,THINKFilm,111,R,2005-11-04
2509,Jarhead,Universal Pictures,125,R,2005-11-04
2510,The Dying Gaul,Strand Releasing,101,R,2005-11-04
2511,Wal-Mart: The High Cost of Low Price,Brave New Films,98,TV-PG,2005-11-04
2512,Get Rich or Die Tryin',Paramount Pictures,117,R,2005-11-09
2513,The Swenkas,Seventh Art Releasing,72,,2005-11-09
2514,Bee Season,20th Century Fox,104,PG-13,2005-11-11
2515,Cape of Good Hope,Artistic License,107,PG-13,2005-11-11
2516,Derailed,The Weinstein Company,108,Not Rated,2005-11-11
2517,Duane Hopwood,IFC Films,,R,2005-11-11
2518,Ellie Parker,Dream Entertainment,95,R,2005-11-11
2519,"Good Morning, Night",Wellspring Media,106,,2005-11-11
2520,Pride & Prejudice,Universal Pictures,127,PG,2005-11-11
2521,Sarah Silverman: Jesus Is Magic,Roadside Attractions,72,,2005-11-11
2522,Zathura: A Space Adventure,Sony Pictures,113,PG,2005-11-11
2523,Breakfast on Pluto,Sony Pictures,128,R,2005-11-16
2524,Gilles' Wife,Cinema Guild,103,Not Rated,2005-11-16
2525,The Syrian Bride,Koch Lorber Films,97,,2005-11-16
2526,Aristide and the Endless Revolution,First Run Features,82,Not Rated,2005-11-17
2527,Zizek!,Zeitgeist Films,71,,2005-11-17
2528,Harry Potter and the Goblet of Fire,Warner Bros.,157,PG-13,2005-11-18
2529,Oxygono,Picture This! Entertainment,100,,2005-11-18
2530,Private,Typecast Releasing,90,,2005-11-18
2531,The Big Risk,United Artists,103,,2005-11-18
2532,Walk the Line,20th Century Fox,136,PG-13,2005-11-18
2533,39 Pounds of Love,Balcony Releasing,70,Unrated,2005-11-23
2534,In the Mix,Lionsgate,95,PG-13,2005-11-23
2535,Just Friends,Warner Bros.,96,PG-13,2005-11-23
2536,Rent,Sony Pictures,135,PG-13,2005-11-23
2537,Syriana,Warner Bros.,126,R,2005-11-23
2538,The Ice Harvest,Universal Pictures,92,R,2005-11-23
2539,The Libertine,The Weinstein Company,114,R,2005-11-23
2540,"Yours, Mine and Ours",Metro-Goldwyn-Mayer,90,PG,2005-11-23
2541,Down to the Bone,Laemmle/Zeller Films,104,R,2005-11-25
2542,Mrs Palfrey at The Claremont,Cineville,108,,2005-11-25
2543,The Boys of Baraka,THINKFilm,84,Unrated,2005-11-30
2544,Be Here to Love Me: A Film About Townes Van Zandt,Palm Pictures,99,,2005-12-02
2545,First Descent,Universal Pictures,110,PG-13,2005-12-02
2546,The Far Side of the Moon,Alliance Atlantis Vivafilm,105,,2005-12-02
2547,The Kid & I,Slowhand Cinema Releasing,93,PG-13,2005-12-02
2548,Transamerica,IFC Films,103,R,2005-12-02
2549,Ãon Flux,Paramount Pictures,93,PG-13,2005-12-02
2550,The World's Fastest Indian,Magnolia Pictures,127,PG-13,2005-12-07
2551,Brokeback Mountain,Universal Pictures,134,R,2005-12-09
2552,Isn't This a Time! A Tribute Concert for Harold Leventhal,Seventh Art Releasing,90,,2005-12-09
2553,Marebito (The Stranger from Afar),Tartan,92,R,2005-12-09
2554,Memoirs of a Geisha,Sony Pictures,145,PG-13,2005-12-09
2555,Moonlight,Indican Pictures,91,,2005-12-09
2556,Mrs Henderson Presents,The Weinstein Company,103,R,2005-12-09
2557,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Walt Disney,143,Unrated,2005-12-09
2558,Happy Here and Now,IFC Films,89,TV-14,2005-12-14
2559,King Kong,Universal Pictures,187,PG-13,2005-12-14
2560,The Grace Lee Project,Women Make Movies,68,,2005-12-14
2561,Electric Shadows,First Run Features,93,,2005-12-16
2562,Hoodwinked!,The Weinstein Company,80,PG,2005-12-16
2563,The Family Stone,20th Century Fox,103,PG-13,2005-12-16
2564,The Producers,Universal Pictures,134,PG-13,2005-12-16
2565,The Three Burials of Melquiades Estrada,Sony Pictures,121,R,2005-12-16
2566,Cheaper by the Dozen 2,20th Century Fox,94,PG,2005-12-21
2567,Fun with Dick and Jane,Sony Pictures,90,PG-13,2005-12-21
2568,The White Countess,Sony Pictures,135,PG-13,2005-12-21
2569,CachÃ© (Hidden),Sony Pictures,117,R,2005-12-23
2570,Munich,Universal Pictures,164,R,2005-12-23
2571,The Intruder,Wellspring Media,130,,2005-12-23
2572,The Matador,The Weinstein Company,96,R,2005-12-23
2573,The Ringer,20th Century Fox,94,PG-13,2005-12-23
2574,Casanova,Walt Disney,112,R,2005-12-25
2575,Rumor Has It...,Warner Bros.,97,PG-13,2005-12-25
2576,The New World,Warner Bros.,135,PG-13,2005-12-25
2577,Wolf Creek,Dimension Films,99,Unrated,2005-12-25
2578,Ich hiess Sabina Spielrein,Facets Multimedia Distribution,90,,2005-12-28
2579,Match Point,DreamWorks Distribution,124,R,2005-12-28
2580,The Promise,Warner Bros.,121,PG-13,2005-12-30
2581,BloodRayne,Romar Entertainment,95,Unrated,2006-01-06
2582,Fateless,THINKFilm,140,R,2006-01-06
2583,Grandma's Boy,20th Century Fox,94,R,2006-01-06
2584,Hostel,Lionsgate,94,R,2006-01-06
2585,"I Am Taraneh, I Am Fifteen Years Old",Menemsha Films,110,,2006-01-06
2586,Kill the Poor,IFC Films,85,,2006-01-06
2587,State of Fear,Skylight Pictures,94,,2006-01-11
2588,April's Shower,Regent Releasing,98,R,2006-01-13
2589,Film Geek,First Run Features,78,Not Rated,2006-01-13
2590,Following Sean,Upstate Films,87,Unrated,2006-01-13
2591,Glory Road,Walt Disney,118,PG,2006-01-13
2592,Henri Cartier-Bresson: The Impassioned Eye,Palm Pictures,72,,2006-01-13
2593,Last Holiday,Paramount Pictures,112,PG-13,2006-01-13
2594,That Man: Peter Berlin,Gorilla Factory Productions,80,,2006-01-13
2595,Tristan and Isolde,20th Century Fox,125,PG-13,2006-01-13
2596,When the Sea Rises,New Yorker Films,89,,2006-01-13
2597,The Fall of Fujimori,Cinema Libre Studio,83,,2006-01-18
2598,24 Hours on Craigslist,Zealot Pictures,82,,2006-01-19
2599,Blossoms of Fire,New Yorker Films,75,,2006-01-20
2600,End of the Spear,Every Tribe Entertainment,108,PG-13,2006-01-20
2601,Go for Zucker,First Run Features,95,Unrated,2006-01-20
2602,How to Eat Your Watermelon in White Company (and Enjoy It),,85,,2006-01-20
2603,Looking for Comedy in the Muslim World,Warner Bros.,98,PG-13,2006-01-20
2604,Pizza,IFC Films,80,TV-14,2006-01-20
2605,The Real Dirt on Farmer John,CAVU Releasing,82,,2006-01-20
2606,Underworld: Evolution,Sony Pictures,106,R,2006-01-20
2607,Why We Fight,Sony Pictures,98,PG-13,2006-01-20
2608,Annapolis,Walt Disney,108,PG-13,2006-01-27
2609,Big Momma's House 2,20th Century Fox,99,PG-13,2006-01-27
2610,Bubble,Magnolia Pictures,73,R,2006-01-27
2611,Dai si gin,Palm Pictures,90,,2006-01-27
2612,Imagine Me & You,20th Century Fox,94,R,2006-01-27
2613,Little Jerusalem,Kino International,,,2006-01-27
2614,Manderlay,IFC Films,139,Not Rated,2006-01-27
2615,Nanny McPhee,Universal Pictures,97,PG,2006-01-27
2616,Roving Mars,Walt Disney,40,G,2006-01-27
2617,Tristram Shandy: A Cock and Bull Story,Picturehouse Entertainment,94,R,2006-01-27
2618,Who Gets to Call It Art?,Palm Pictures,78,,2006-02-01
2619,Cowboy del Amor,Emerging Pictures,86,,2006-02-03
2620,Something New,Universal Pictures,99,PG-13,2006-02-03
2621,Tamara,Lionsgate,98,R,2006-02-03
2622,The Tenants,Millennium Films,31,Not Rated,2006-02-03
2623,The Tollbooth,Castle Hill Productions,85,,2006-02-03
2624,What the Bleep!?: Down the Rabbit Hole,Samuel Goldwyn Films,156,,2006-02-03
2625,When a Stranger Calls,Sony Pictures,87,PG-13,2006-02-03
2626,A Good Woman,Lionsgate,93,PG,2006-02-06
2627,A Year Without Love,Strand Releasing,95,R,2006-02-10
2628,Curious George,Universal Pictures,86,G,2006-02-10
2629,Final Destination 3,Warner Bros.,93,R,2006-02-10
2630,Firewall,,105,PG-13,2006-02-10
2631,London,Samuel Goldwyn Films,92,R,2006-02-10
2632,Neil Young: Heart of Gold,Paramount Pictures,103,PG,2006-02-10
2633,The Fallen Idol (re-release),Selznick Releasing Organization,95,,2006-02-10
2634,The Pink Panther,Sony Pictures,93,PG,2006-02-10
2635,Through the Fire,Cinema Libre Studio,103,,2006-02-10
2636,C.S.A.: The Confederate States of America,IFC Films,89,TV-MA,2006-02-15
2637,Battle in Heaven,Tartan,98,,2006-02-17
2638,Date Movie,20th Century Fox,83,Unrated,2006-02-17
2639,Eight Below,Walt Disney,120,PG,2006-02-17
2640,Freedomland,Sony Pictures,113,R,2006-02-17
2641,Night Watch: Nochnoi Dozor,20th Century Fox,114,R,2006-02-17
2642,Sophie Scholl: The Final Days,Zeitgeist Films,120,,2006-02-17
2643,The Second Chance,Sony Pictures,102,PG-13,2006-02-17
2644,Winter Passing,Universal Pictures,98,R,2006-02-17
2645,Street Fight,Argot Pictures,83,,2006-02-22
2646,Black Orpheus,Lopert Pictures Corporation,100,PG,2006-02-24
2647,Dirty,Silver Nitrate Releasing,97,R,2006-02-24
2648,Doogal,The Weinstein Company,78,G,2006-02-24
2649,Forgiving Dr. Mengele,First Run Features,82,,2006-02-24
2650,Little Fish,First Look International,114,R,2006-02-24
2651,Madea's Family Reunion,Lionsgate,107,PG-13,2006-02-24
2652,Running Scared,Warner Bros.,122,R,2006-02-24
2653,Trudell,Balcony Releasing,80,,2006-02-24
2654,Tsotsi,The Weinstein Company,94,R,2006-02-24
2655,Unknown White Male,Wellspring Media,88,PG-13,2006-02-24
2656,Workingman's Death,Seventh Art Releasing,122,,2006-02-24
2657,Our Brand Is Crisis,Koch Lorber Films,85,Unrated,2006-03-01
2658,"Sorry, Haters",IFC Films,,,2006-03-01
2659,16 Blocks,Warner Bros.,105,PG-13,2006-03-03
2660,Aquamarine,20th Century Fox,104,PG,2006-03-03
2661,Dave Chappelle's Block Party,Rogue Pictures,103,R,2006-03-03
2662,Deep Sea,Warner Bros.,41,G,2006-03-03
2663,Merry Christmas,Sony Pictures,116,R,2006-03-03
2664,Ultraviolet,Sony Pictures,88,PG-13,2006-03-03
2665,Woman Is the Future of Man,New Yorker Films,88,,2006-03-03
2666,The Fallen,Anthem Pictures,112,,2006-03-08
2667,Ask the Dust,Paramount Pictures,117,R,2006-03-10
2668,Duck Season,Esperanto Filmoj,90,R,2006-03-10
2669,Evil,Magnolia Pictures,113,Not Rated,2006-03-10
2670,Failure to Launch,Paramount Pictures,97,PG-13,2006-03-10
2671,Game 6,Gravitas Ventures,87,R,2006-03-10
2672,Shakespeare Behind Bars,International Film Circuit,93,,2006-03-10
2673,The Heart Is Deceitful Above All Things,Palm Pictures,97,R,2006-03-10
2674,The Hills Have Eyes,20th Century Fox,107,NC-17,2006-03-10
2675,The Shaggy Dog,Walt Disney,98,PG,2006-03-10
2676,The Beautiful City,,101,,2006-03-15
2677,Hate Crime,Image Entertainment,103,R,2006-03-16
2678,Beyond Honor,International Film Circuit,,,2006-03-17
2679,Don't Come Knocking,Sony Pictures,122,R,2006-03-17
2680,Don't Tell,Lionsgate,120,R,2006-03-17
2681,Find Me Guilty,Freestyle Releasing,125,R,2006-03-17
2682,Iluzija,Picture This! Entertainment,107,,2006-03-17
2683,She's the Man,DreamWorks SKG,105,PG-13,2006-03-17
2684,Take My Eyes,New Yorker Films,109,,2006-03-17
2685,Thank You for Smoking,20th Century Fox,92,R,2006-03-17
2686,The Devil's Miner,First Run Features,82,,2006-03-17
2687,V for Vendetta,Warner Bros.,132,R,2006-03-17
2688,American Gun,IFC Films,95,R,2006-03-22
2689,Inside Man,Universal Pictures,129,R,2006-03-24
2690,L'Enfant (The Child),Sony Pictures,100,R,2006-03-24
2691,Larry the Cable Guy: Health Inspector,Lionsgate,89,PG-13,2006-03-24
