year,release_date,title,genre,international_box_office,domestic_box_office,worldwide_box_office,production_budget,Unnamed: 8,opening_weekend,theatre_count,avg run per theatre,runtime,keywords,creative_type,url
2018,October 19th,Halloween,Horror,96050074.0,159366015.0,255416089.0,10000000.0,,76221545.0,3928.0,4.0,105.0,Serial Killer,Contemporary Fiction,https://www.the-numbers.com/movie/Halloween-(2018)
2018,October 13th,Mult v. Kino Vypusk No. 82,Adventure,107037.0,,107037.0,,,,,,47.0,,Kids Fiction,https://www.the-numbers.com/movie/Mult-v-Kino-Vypusk-No-82-(Russia)-(2018)
2018,October 13th,The Toxic Avenger: The Musical,Multiple Genres,6593.0,,6593.0,,,,,,121.0,,Science Fiction,https://www.the-numbers.com/movie/Toxic-Avenger-The-Musical-The
2018,October 12th,Yol ArkadaÃ…Å¸Ã„Â±m 2,Comedy,5252195.0,,5252195.0,,,,,,116.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Yol-Arkadasim-2-(Turkey)-(2018)
2018,October 17th,Le Flic de Belleville,Comedy,8126380.0,,8126380.0,16500000.0,,,,,111.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Flic-de-Belleville-Le-(France)-(2018)
2018,October 12th,Zwaar Verliefd!,Comedy,2344288.0,,2344288.0,,,,,,86.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Zwaar-Verliefd-(Netherlands)(2018)
2018,October 12th,Voyez comme on danse,,3191370.0,,3191370.0,,,,,,88.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Voyez-comme-on-danse-(France)-(2018)
2017,October 20th,Ferrari 312B: Where the revolution begins,Documentary,28198.0,,28198.0,,,,,,85.0,,Factual,https://www.the-numbers.com/movie/Ferrari-312B-Where-the-revolution-begins-(Italy)
2017,October 20th,Golmaal Again,Musical,32982370.0,1013893.0,33996263.0,,,1013893.0,267.0,1.0,151.0,Bollywood,Contemporary Fiction,https://www.the-numbers.com/movie/Golmaal-Again-(India)
2017,October 20th,DidÃ…Â¾iapÃ„â€”dÃ…Â¾io vaikas,Adventure,265855.0,,265855.0,,,,,,,,Kids Fiction,https://www.the-numbers.com/movie/Didziapedzio-vaikas-(Lithuania)
2017,October 20th,Deep in My Heart,Drama,10526.0,,10526.0,,,,,,95.0,,,https://www.the-numbers.com/movie/Deep-in-My-Heart-(China)-(2017)
2017,March 9th,The Death of Stalin,Black Comedy,12393254.0,8047856.0,20441110.0,,,184805.0,4.0,3.7,107.0,Satire,Historical Fiction,https://www.the-numbers.com/movie/Death-of-Stalin-The-(UK)
2017,October 20th,Czlowiek z magicznym pudelkiem,Drama,,,,,,,,,103.0,Direct-to-Video,Science Fiction,https://www.the-numbers.com/movie/Czlowiek-z-magicznym-pudelkiem-(Poland)-(2019)
2017,October 20th,Dealt,Documentary,,30414.0,,,,4293.0,1.0,2.8,86.0,Biography,Factual,https://www.the-numbers.com/movie/Dealt-(Documentary)
2017,October 20th,Damat TakÃ„Â±mÃ„Â±,Romantic Comedy,705049.0,,705049.0,,,,,,109.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Damat-Takimi-(Turkey)
2017,October 20th,Everyday Hero,Drama,73772.0,,73772.0,,,,,,,,Contemporary Fiction,https://www.the-numbers.com/movie/Everyday-Hero-(China)
2017,October 20th,Code Geass Lelouch Of The Rebellion Movie 1,Adventure,639846.0,,639846.0,,,,,,135.0,Anime,Fantasy,https://www.the-numbers.com/movie/Code-Geass-Lelouch-Of-The-Rebellion-Movie-1-(Japan)
2017,October 20th,Cinema Live: Carmen On The Lake,Concert/Performance,5691.0,,5691.0,,,,,,,,Factual,https://www.the-numbers.com/movie/Cinema-Live-Carmen-On-The-Lake-(Austria-2017)
2017,October 20th,Brutti e Cattivi,Comedy,573695.0,,573695.0,,,,,,85.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Brutti-e-cattivi-(Italy)
2017,October 20th,Bolshoi Ballet: Le Corsaire,Concert/Performance,117284.0,,117284.0,,,,,,,,Historical Fiction,https://www.the-numbers.com/movie/Bolshoi-Ballet-Le-Corsaire-(Russia-2017)
2017,October 20th,BÃƒÂ¶lÃƒÂ¼k,Drama,731767.0,,731767.0,,,,,,95.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Boluk-(Turkey)
2017,October 20th,Butterfly Cemetery,Drama,492189.0,,492189.0,,,,,,95.0,,Fantasy,https://www.the-numbers.com/movie/Butterfly-Cemetery-(China)-(2017)
2017,October 20th,Bad Day for the Cut,Thriller/Suspense,1509.0,,1509.0,,,,,,99.0,Delayed Adulthood,Contemporary Fiction,https://www.the-numbers.com/movie/Bad-Day-for-the-Cut-(UK)
2017,October 20th,BajkeÃ…â„¢i,Comedy,1182335.0,,1182335.0,,,,,,95.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Bajkeri-(CZ)
2017,November 2nd,The Ballad of Shirley Collins,Documentary,25484.0,,25484.0,,,,,,94.0,Singers,Factual,https://www.the-numbers.com/movie/Ballad-of-Shirley-Collins-The-(UK)
2017,October 20th,Anida y el Circo Flotante,Adventure,4264.0,,4264.0,,,,,,75.0,,Fantasy,https://www.the-numbers.com/movie/Anida-y-el-Circo-Flotante-(Argentina)
2016,November 11th,Desingle Bible,Romantic Comedy,8940.0,,8940.0,,,,,,88.0,,,https://www.the-numbers.com/movie/Desingle-Bible-(China)-(2016)
2017,October 20th,The Bachelors,Drama,102304.0,,102304.0,,,,,,99.0,Early / Simultaneous Video-on-Demand release,Contemporary Fiction,https://www.the-numbers.com/movie/Bachelors-The-(2017)
2016,November 11th,Come and Find Me,Drama,4052.0,,4052.0,,,,,,112.0,Early / Simultaneous Video-on-Demand release,Contemporary Fiction,https://www.the-numbers.com/movie/Come-and-Find-Me-(UK)
