salesid,theater_count,international,domestic
593,2459,14000000,19076815
594,2,,289885
595,1780,4689861,18492362
596,1,,3908
597,,,99958
598,1,,104294
599,2507,253620,30063805
600,6,,48564
601,1,,129265
602,6,,92723
603,2,13148626,13876974
604,2511,,30307804
605,2,,131188
606,2225,57152885,37939782
607,2,,87074
608,1,,9033
609,13,,119841
610,3143,36538066,78120196
611,1505,390214,25482931
612,6,,298971
613,2944,42298771,56684819
614,398,,1843570
615,3316,209728938,176387405
616,5,,139493
617,2,,243769
618,2528,63667692,40119709
619,2917,41000000,37948765
620,1,,10668
621,6,206512,624153
622,1801,2317456,10198766
623,2540,1803327,36985501
624,2164,18247,8355815
625,9,,60006
626,3053,101000000,95308367
627,1,,28043
628,2511,4891444,75600072
629,2,,448375
630,10,159460,1081130
631,5,,125996
632,1961,1226583,7262288
633,2717,22237893,41543207
634,2613,,66790248
635,1497,6836832,13110448
636,224,,705308
637,1,,10106
638,100,,28658
639,11,,3176936
640,2670,38648484,24430272
641,18,,446942
642,3,,59675
643,25,11733099,4298329
644,1,,68460
645,2663,24768398,31874869
646,2,,225390
647,,,
648,108,133451826,241438208
649,3444,75310634,90580000
650,6,,97000
651,3,,235087
652,20,307271,1293295
653,1878,3830243,13121555
654,3,,16241
655,1,,453517
656,1,,247740
657,1,,11696
658,15,,676698
659,2,,14904
660,1,,8886
661,2,,16063
662,765,10000000,4839383
663,1,,118022
664,3615,418000000,403706375
665,2,,398610
666,1,,62044
667,,,1500
668,3,,11756
669,5,,329845
670,2687,,28972187
671,2613,66362019,52752475
672,1,,2500
673,1207,89956651,40803000
674,2,,1551470
675,4,1434213,406035
676,38,289068,8378141
677,2,,141367
678,7,,411034
679,2623,11793445,39177215
680,2610,46359317,67263182
681,3317,33300000,73215310
682,9,418488,3287435
683,2,85601,313436
684,3,,9763
685,3183,75028680,118471320
686,2167,2565710,38230435
687,2944,39000000,30157016
688,6,,160268
689,1,,2838
690,1,,1465
691,1,,30915
692,3447,123000000,153294164
693,2638,92888411,121468960
694,9,,1779284
695,2,27508,661903
696,2898,36714197,40914068
697,1,,34293
698,,,10575
699,2,4227,144008
700,1325,200000,13571817
701,3191,100028473,145771527
702,3001,226800000,132024714
703,10,217542,3064356
704,1,,56653
705,2527,,13684949
706,3231,44976083,126293452
707,1,,1033395
708,8,,305690
709,1,,220077
710,2410,11000000,51432423
711,2340,5014057,11411644
712,,,6289
713,1,,301175
714,1,1072320,1359133
715,1954,7400000,30259652
716,1,,14781
717,5,1162,307631
718,1797,79300000,104054514
719,7,,2628241
720,2525,5000000,28436931
721,2,,63751
722,2530,19455806,17266505
723,2828,30547160,35168966
724,3255,101043194,64956806
725,6,378840,2891288
726,3,,7874
727,3613,83220874,213117789
728,1,,161483
729,2553,,16988996
730,4,265373,1434436
731,208,925958,2512846
732,3264,180281283,227969295
733,2565,,40363530
734,4,2567207,14018296
735,2,2435935,1169030
736,2525,,26199517
737,1,,18062
738,5,,114183
739,3374,125270000,141930000
740,,,122628
741,3002,11500000,40118420
742,2,251673,4160475
743,270,4702165,10103647
744,2320,2683893,4411102
745,7,20626175,31597131
746,1,,119664
747,,,
748,3,,145396
749,366,,405182
750,1920,,9680913
751,2154,3215965,16930185
752,1,,21075
753,1102,,12398628
754,3,,279605
755,2575,72017,22433915
756,1,,1480
757,3,,251717
758,2856,5519233,28564995
759,1,,1386
760,1605,1281819,75781642
761,10,734686,4777465
762,5,,17717
763,2366,,13973532
764,2705,,14294842
765,4,,80636
766,11,5365278,4046737
767,6,,66339
768,2738,7760937,30306281
769,1912,11576479,18306166
770,2227,88599,6916869
771,1,,515678
772,5,,54834
773,7,,20710
774,5,,64197
775,22,,6830957
776,1,,712446
777,9,,249204
778,3293,55151042,127214072
779,6,,1431625
780,3022,53843625,50586000
781,5,6918475,81525
782,2,,773228
783,4,,774317
784,940,37428,25571351
785,3,,7998
786,3357,113500000,92955420
787,16,4227634,378650
788,2,149457,2942
789,168,,589424
790,8,36664469,21576018
791,1372,952560,27362712
792,4,,2744253
793,1806,759520,11660180
794,5,6800000,17791031
795,2,,26617
796,196,12387,598645
797,1437,5273298,6525762
798,2573,18632485,25296447
799,1185,182616,19161999
800,1510,5300000,16357770
801,2341,1500000,10719367
802,11,641755,2062066
803,2,,120738
804,1857,,5204007
805,2,,132026
806,55,1924596,5853194
807,8,,507443
808,1981,119124462,129094024
809,1,,156450
810,7,1985,184255
811,17,,22723
812,2,,1802
813,1,,43922
814,5,30246239,25885000
815,2787,38236393,30113491
816,2509,15000000,64282312
817,268,32864,3042188
818,4,572588,1266828
819,,,88414
820,753,700000,5303000
821,197,8126,261603
822,1,,656
823,3182,26718685,33561137
824,4,,6259
825,3350,33600000,139225854
826,27,,102622
827,6,,433264
828,3227,53679446,38120554
829,1066,10200000,6630252
830,2470,129044309,116724075
831,,,45500
832,6,13126065,15901849
833,2,,1023156
834,6,64694,1693000
835,2113,3665420,15567860
836,3682,613029172,262424882
837,,,
838,,,47329
839,23,77944,1615732
840,3314,271000000,160942139
841,1616,273226,33253609
842,809,2132763,14060950
843,6,13360556,12987647
844,2503,,23607202
845,1800,7788503,4835968
846,2406,,14970038
847,1615,3300000,12840842
848,9,10667328,6199600
849,1,,26747
850,2635,22872508,32122249
851,867,990849,17504595
852,301,4155851,1190018
853,6,42049267,65005217
854,1836,713,56398162
855,15,2789918,1483975
856,2838,69905321,93932896
857,2711,24058417,43254409
858,2217,19557959,35081550
859,1,,18944
860,3622,576599780,342548984
861,5,12259895,13084595
862,15,2289441,21078145
863,1504,105394121,77730500
864,3,,267194
865,6,1377601,10465659
866,1,,11752
867,3012,20586040,40108697
868,2755,105688391,93354918
869,1195,28000000,3681811
870,77,136083027,170687518
871,6,185478,539197
872,5,1749124,1562800
873,6,,17639
874,11,55354474,41675994
875,6,79334860,32519322
876,4,,213137
877,4,17006087,16007718
878,2,,13134
879,2766,45437773,56127162
880,,3183975,70034
881,2515,1886732,15543862
882,1,171137,421187
883,2818,23835366,66723216
884,2729,18310349,36288951
885,2837,14750077,32539681
886,1,,6015
